scorer,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie
individuals,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3832082272745516,0.9769999980926514,2.32262997483456,0.9649999737739563,,,3.8891445074720443,0.9860000014305115,3.2773269595815435,0.9990000128746033,4.670654343879446,0.984000027179718,2.66265300029876,0.996999979019165,2.4242435933709285,0.9990000128746033,3.220142232883504,1.0,2.338115480467113,1.0,1.3998949960622038,1.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.474717258982665,0.29100000858306885,8.580833759023637,0.8790000081062317,8.547516598404481,0.9940000176429749,,,,,3.598096441175528,0.3499999940395355,,,19.470147944995183,0.367000013589859,,,3.9427325549674257,1.0,3.501097542200159,1.0,2.197200036409991,1.0,7.1229764143930705,1.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.176911803450013,0.9810000061988831,,,3.2996631646275594,0.9710000157356262,,,2.076950890127165,0.9959999918937683,1.117099816489112,0.9980000257492065,2.9746147649737917,0.9779999852180481,4.241934110756551,0.9940000176429749,2.4205125490275776,1.0,,,,,1.1894893862493887,1.0,3.355926846640129,0.9980000257492065,1.7860596294636695,1.0,0.18497837711473006,1.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.542254505163043,0.9950000047683716,,,1.115652275576933,1.0,,,1.3368694775482126,0.9940000176429749,3.3070072573249742,0.9990000128746033,3.6000756936486664,1.0,6.36291411226019,0.9900000095367432,,,3.9747061526608527,0.9990000128746033,1.3196438913585922,1.0,2.2338719748454627,1.0,2.4382192272230165,0.9990000128746033,1.890117721201498,1.0,0.7130757323034099,1.0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.948128923933478,0.9950000047683716,,,1.0117692424659173,0.9800000190734863,,,2.600063076157967,0.9890000224113464,5.164338098924196,0.9980000257492065,3.9728287151600075,0.9980000257492065,2.003721787075231,0.9879999756813049,0.19260841103130422,0.996999979019165,0.977942738609981,0.9850000143051147,4.84505572723369,0.9990000128746033,1.8873062814498427,1.0,1.0952880899562405,1.0,2.0884503824606315,1.0,1.4657547543842444,1.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5173246191899705,0.9869999885559082,,,3.4719511805323386,0.9819999933242798,,,2.145633938956022,1.0,0.9328719097496683,0.9990000128746033,3.667898171978035,0.9779999852180481,3.1551977751006333,0.9990000128746033,,,2.5304110338045813,0.9990000128746033,,,,,3.245242671973867,0.9990000128746033,2.8562816737850176,1.0,3.5754251495451794,1.0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.106363111075299,0.9959999918937683,,,2.5191913385052773,0.9950000047683716,,,1.2089023947366335,1.0,1.1770067969217508,0.9990000128746033,2.6825689180335988,0.9929999709129333,0.9490648028454408,0.9940000176429749,,,8.618097527877014,0.9869999885559082,,,,,3.026446100626916,1.0,2.462910676415218,1.0,3.7616860581393534,1.0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.852861526975605,0.9990000128746033,,,4.054117043204344,1.0,,,0.7909551188278706,0.9990000128746033,1.2838430589445096,0.996999979019165,1.662849662477032,1.0,5.787169947392259,0.9959999918937683,0.9441975428902488,0.9980000257492065,4.578767082960218,0.9990000128746033,,,2.592945815091393,0.9990000128746033,0.91896572297338,1.0,2.255516127186881,1.0,3.709110135868191,1.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.398686692150235,1.0,,,1.7905809113245974,1.0,,,5.5420649581180355,1.0,3.3624372113096506,1.0,1.361590981168722,1.0,2.3166167140897573,0.9959999918937683,,,1.8875979444786262,1.0,2.686169763808668,0.9940000176429749,2.7947178748489128,1.0,3.476248696511796,1.0,2.859001573976462,1.0,1.0114514323485864,1.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9298494841885594,0.9950000047683716,,,1.5460873196556437,0.9990000128746033,1.5054105752252724,1.0,0.10811567878897509,0.9990000128746033,1.0792043365368815,0.9929999709129333,3.481738071710732,1.0,3.9711967969366624,1.0,,,1.5890028319673015,0.9980000257492065,,,5.8905216237613365,1.0,0.7152796655854298,1.0,1.5054740117318468,1.0,1.3829103369343874,1.0
