scorer,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur
individuals,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,end1,end1,end2,end2,interm1,interm1,interm2,interm2,interm3,interm3,end1,end1,end2,end2,interm1,interm1,interm2,interm2,interm3,interm3,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
7,,,,,,,,,,,,,,,,,,,,,5.660399998955946,1.0,7.465809733453816,1.0,2.0228537908469475,1.0,4.192627649226344,1.0,6.97687132651844,1.0,5.1694437579586525,1.0,2.4438297545782666,1.0,1.5933616105929096,1.0,1.5061037068333187,1.0,6.064441409600823,0.9869999885559082,1.5943161576473472,1.0,,
8,3.4535643554449975,1.0,1.5109669072784138,1.0,3.444825829580726,1.0,2.697982412681152,1.0,3.5449643706271132,1.0,,,,,,,,,,,3.9517013131655356,1.0,4.159833404601667,1.0,1.9715599848770762,1.0,3.4119581221720394,1.0,5.72599067048739,1.0,5.051064265540665,1.0,1.8955230960167864,1.0,3.1935103502311226,1.0,0.44308455791829654,1.0,2.3001323075925058,1.0,1.8344228372928537,1.0,2.376960950518346,1.0
9,,,,,,,,,,,1.1354500400824916,1.0,2.313355905929771,1.0,1.4734217876249363,1.0,1.5481809870570171,1.0,3.1399194292318726,1.0,1.7303591411690944,1.0,2.515200298179693,1.0,2.459125581303889,1.0,3.0302989784166328,1.0,2.406915850316285,1.0,0.553361512532918,1.0,1.9729510478488996,1.0,2.9634631609485984,1.0,3.3620301284466225,1.0,1.7400680457679147,1.0,2.853872272015983,1.0,3.023732693446445,1.0
10,,,,,,,,,,,2.9793552891978115,1.0,1.080865255697894,1.0,0.6962181447776064,1.0,2.6966954105996797,1.0,0.852673580469948,1.0,2.0566642060110416,1.0,2.689141960511332,1.0,3.4900417371076586,1.0,1.490158313540371,1.0,1.341506750911977,1.0,1.8327373854774263,1.0,1.5462095166094418,1.0,1.5871036868200388,1.0,2.1582082568968857,1.0,5.785643139597148,1.0,0.7381336591077922,1.0,2.19476999848276,1.0
11,,,,,,,,,,,1.4400058591327727,1.0,5.217874641203236,1.0,0.42152582274595485,1.0,2.4755550654048597,1.0,1.2733614941529223,1.0,1.6177606178765844,1.0,0.5669420210588626,1.0,1.3254091297190034,1.0,3.853954619146177,1.0,2.8368126869949264,1.0,1.30470200712645,1.0,3.260006836956662,1.0,0.5484954822717676,1.0,0.9880099801642592,1.0,0.42376354353933354,1.0,2.194466032438003,1.0,0.9104326474014507,1.0
12,51.77445893108131,0.9990000128746033,47.479465304363025,0.9909999966621399,26.25639730825158,1.0,3.9945038455659745,1.0,21.621517022209687,1.0,1.3764792900436524,1.0,7.02051828104778,1.0,1.4352155542507128,1.0,3.019274787723101,1.0,3.8775672810002986,1.0,1.7677314382962024,1.0,2.9985371434285497,1.0,3.7577513729951284,1.0,3.5967768310222703,1.0,11.521390251243,1.0,16.98406141560536,1.0,10.469144651726998,1.0,8.700565738720556,1.0,9.853654053448107,1.0,31.574471605160582,0.9980000257492065,2.3398781909993254,1.0,4.368992289464592,0.03700000047683716
13,,,,,2.4406929420328636,1.0,2.1217014221297505,1.0,3.016015362003941,1.0,1.2686850913698953,1.0,1.3021643846252464,1.0,3.42986096127537,1.0,2.724336959162447,1.0,0.36974590727486206,1.0,3.0668107277605774,1.0,2.433327686905947,1.0,2.85809565003711,1.0,1.881096834005304,1.0,0.9837892584797551,1.0,1.9080010954256321,1.0,2.0750120764105118,1.0,3.2727924861399904,1.0,0.2754642969467563,1.0,1.7762259374834162,1.0,1.4596718050173074,1.0,3.322934102113192,1.0
14,,,,,,,,,,,0.9255826816104031,1.0,3.043004548269071,1.0,2.935888057604357,1.0,2.9925909100550916,1.0,1.3919466903096722,1.0,6.828969708594806,1.0,3.5011580013486805,1.0,5.668564948477173,1.0,3.464804855376414,1.0,3.2729488791316426,1.0,7.733125660708206,1.0,11.935000772220477,1.0,3.0131421389532007,1.0,5.238106931075031,1.0,27.38356529237267,0.9710000157356262,6.955616712719077,1.0,12.106109085679417,0.37700000405311584
15,,,,,,,,,,,1.112336335252993,1.0,2.3041898976267743,1.0,2.014242582068399,1.0,3.3356772723141965,1.0,1.552958096507386,1.0,1.7298837090289971,1.0,3.38722753933471,1.0,3.5556442314300085,1.0,1.463936619444434,1.0,2.2800345570579457,1.0,1.6251955478503386,1.0,0.9702713335135194,1.0,2.2136570301074596,1.0,6.45674111761131,1.0,3.086042834749593,1.0,2.525163437359474,1.0,2.274540172546343,1.0
16,,,,,,,,,,,2.1575755428364647,1.0,4.3477772434235264,1.0,1.2711265620449554,1.0,4.054501537832522,1.0,0.5733562612796572,1.0,0.5486294789179921,1.0,2.8504663066857123,1.0,0.9237841801794503,1.0,3.2669153014900827,1.0,2.6521026710545144,1.0,1.7250731585778716,1.0,3.483740304538158,1.0,2.0510253160164145,1.0,1.7280200783507782,1.0,2.7668725145989663,1.0,0.041093632287385315,1.0,1.671242311401087,1.0
